hora,presion,racha_presion_alta,accion_simple,motivo_simple,accion_modelo,motivo_modelo
6,1.15,1,RECOMENDAR_REFUERZO,Presión alta (1.15),NO_REFORZAR,racha_presion_alta=1 < 2
7,1.95,2,RECOMENDAR_REFUERZO,Presión alta (1.95),RECOMENDAR_REFUERZO,racha_presion_alta=2 >= 2
8,3.1,3,RECOMENDAR_REFUERZO,Presión alta (3.1),RECOMENDAR_REFUERZO,racha_presion_alta=3 >= 2
